"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","WESD","WESF"
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2024-01-03",,,"0.0","0.0",,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2024-01-04",,,"0.0","0.0",,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2024-01-05",,,"0.0","0.0",,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2024-01-13",,,"22.9",,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2024-01-14",,,"0.0","0.0",,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2024-01-26",,,"7.1",,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2024-01-27",,,"1.0",,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2024-01-28",,,"21.6",,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2024-01-29",,,"6.6",,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2024-01-30",,,"0.0","0.0",,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2024-01-31",,,"1.0",,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2024-02-01",,,"0.0","0.0",,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2024-02-02",,,"3.8",,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2024-02-03",,,"1.5","0.0",,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2024-02-04",,,"0.0","0.0",,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2024-02-06",,,"0.0","0.0",,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2024-02-07",,,"0.0","0.0",,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2024-02-08",,,"0.0","0.0",,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2024-02-09",,,"0.0","0.0",,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2024-02-28",,,"9.4",,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2024-02-29",,,"5.6",,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2024-03-01",,,"0.0","0.0",,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2024-03-02",,,"2.3",,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2024-03-03",,,"37.1",,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2024-03-04",,,"0.0","0.0",,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2024-03-05",,,"4.6",,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2024-03-06",,,"9.9",,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2024-03-07",,,"25.9",,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2024-03-08",,,"0.3",,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2024-03-09",,,"0.0","0.0",,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2024-03-10",,,"49.8",,,,
